商品代码,说明,市场价值,员工数量,部门,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),RSI(14)
600083,*ST博信,1340899982,23,耐用消费品,SSE,电子/电器,0,83.09248555,571.50470807,130.53348468,48.28071976
002849,威星智能,1547192868,743,制造业,SZSE,工业机械,0.42790444,19.45627252,10.84717501,2.04865027,48.28350056
002475,立讯精密,285990207683,172410,电子科技,SZSE,电子元器件,0.67147661,39.05542986,29.74406936,10.31962697,48.28805305
600576,祥源文化,2880221525,185,消费者服务,SSE,电影/娱乐,0.0038322,156.22895623,1.80824136,2.80282941,48.29908667
603266,天龙股份,2201731061,1409,制造业,SSE,杂项制造,0.12385583,20.60617261,10.76147709,2.14702603,48.30480905
300083,创世纪,16561227609.000002,2356,电子科技,SZSE,电子生产设备,1.72287915,,-21.19177586,7.64759022,48.30891873
300261,雅本化学,5203036048,1079,加工制造业,SZSE,化学品：特种,0.6330696,33.74308543,7.55426869,2.5555328,48.30905459
300531,优博讯,4999629288,1273,电子科技,SZSE,电信设备,0.20392967,34.55485083,9.24188315,3.182722,48.32700489
601225,陕西煤业,102632702866,36344,能源矿产,SSE,煤炭,0.16242683,6.50079278,23.52097913,1.47152001,48.34609254
002568,百润股份,57136994818,1622,加工制造业,SZSE,化学品：特种,0,82.61240842,25.03286749,18.00730023,48.3580724
688321,微芯生物,16272745355,669,健康科技,SSE,药品:专业,0.07925608,894.24774336,1.25713398,11.09375846,48.36412605
002587,奥拓电子,3025786266,1364,制造业,SZSE,杂项制造,0.08472005,,-10.48457476,2.10462885,48.36508487
600640,号百控股,9707490107,2402,消费者服务,SSE,酒店/度假村/游轮,0.00372297,189.7515528,1.14186698,2.15729544,48.38098291
002508,老板电器,38207522147,4634,耐用消费品,SZSE,电子/电器,0.08917959,21.30927835,24.27722414,4.8732415,48.39208039
600616,金枫酒业,5050987454,1022,非耐用消费品,SSE,饮料:酒精饮料,0.05027993,300.39370079,0.8680075,2.60901975,48.4090669
600871,石化油服,29748601711.821255,71736,工业服务,SSE,油田服务/设备,4.28537752,87.55555556,6.21527282,5.56292887,48.41303869
688036,传音控股,133359997559.00002,15085,通讯,SSE,主要电信,0.40213314,42.61552633,31.16287442,12.69907351,48.41736464
601996,丰林集团,3643080589,1110,非能源矿业,SSE,林产品,0.22489859,17.68707483,7.27933829,1.2354772,48.41890265
000036,华联控股,5891218348,806,非耐用消费品,SZSE,服装/鞋类,0.30968988,17.57340242,6.69509824,1.2312216,48.45236265
002383,合众思壮,5096978290,2581,电子科技,SZSE,电信设备,0.78785403,,-48.21883239,3.13091407,48.4799263
603737,三棵树,55528293557,8094,加工制造业,SSE,特种工业品,1.24829554,90.58577406,30.97266154,23.38991749,48.48398238
000688,国城矿业,10550264649,903,非能源矿业,SZSE,其他金属/矿物,0.24998274,58.06658131,7.39321632,4.10946491,48.48632016
600091,*ST明科,997300501,1097,加工制造业,SSE,化学品：特种,0.01054886,,-3.58490044,1.16817843,48.48794414
600705,中航产融,34839132875,4885,金融,SSE,金融/租赁,4.66295531,10.73414905,9.84805284,1.00207424,48.48872178
603008,喜临门,9898524128,8277,耐用消费品,SSE,家居装修,0.61197744,22.1584591,16.06714099,3.40790695,48.48893401
688585,上纬新材,4415040057,370,加工制造业,SSE,化学品：特种,0.19463931,45.47342193,12.35220899,4.14736595,48.50248763
300873,海晨股份,5667999560,1332,运输,SZSE,空运/快递,0.03415962,21.64647937,,3.25547751,48.50297915
002068,黑猫股份,5205775255,4159,加工制造业,SZSE,化学品：特种,0.87104142,13.73041965,12.22775128,1.72431798,48.50489366
300137,先河环保,4078025242,2092,电子科技,SZSE,电子设备/仪器,0,30.1002004,6.48943061,1.94579245,48.50942601
