商品代码,说明,市场价值,员工数量,板块,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),aboveMa1,aboveMa2,maxChange
WSTG,WAYSIDE TECH GROUP INC,120280524.0,275.0,配送服务,NASDAQ,电子经销商,0.05467497,23.44160801,10.90088223,2.6961908,85,78,55
ALOT,ASTRONOVA INC,119519078.6,327.0,电子科技,NASDAQ,计算机外围设备,0.35423055,93.48314607,1.75683633,1.58818634,52,22,186
CBBI,"CBB BANCORP, INC.",119509250.0,183.0,金融,OTC,地区银行,0.39373656,8.84821901,8.63984248,0.74944176,51,0,99
SZC,CUSHING NEXTGEN INFRASTRCTR INCM FD,117727000.0,,其他,NYSE,投资信托/互惠基金,0.15341629,,-15.07575068,0.9864186,52,0,83
BONXF,BONTERRA RESOURCES INC.,117580436.0,,非能源矿业,OTC,其他金属/矿物,0.01655595,,-52.20708879,2.97391403,38,12,81
HDSN,HUDSON TECHNOLOGIES INC,117139770.0,221.0,工业服务,NASDAQ,环境服务,2.51315526,,-8.26414131,2.5290251,100,10,216
CMT,CORE MOLDING TECHNOLOGIES INC,116568270.72,1617.0,制造业,NYSE ARCA,工业机械,0.35320457,31.78368121,3.59394001,1.13847124,94,0,259
JEMD,NUVEEN EMRNG MRKTS DBT 2022 TR TRM,115828000.0,,其他,NYSE,投资信托/互惠基金,0.2915774,,-6.30933891,1.02794155,55,76,26
SFBC,SOUND FINL BANCORP INC,115809946.0,120.0,金融,NASDAQ,地区银行,0.21124766,10.7818141,12.55465824,1.30577254,61,55,104
NEOV,"NEOVOLTA, INC.",114679755.04,3.0,电子科技,OTC,半导体,0.01304779,,-216.66212701,28.76173176,-1,-1,-1
LUB,LUBYS INC,113954450.0,3074.0,消费者服务,NYSE,餐厅,1.03055748,,-33.69543432,1.53961385,74,54,367
BTCY,BIOTRICITY INC.,113312211.83999996,44.0,科技服务,OTC,套装软件,-0.68926359,,,,69,37,340
PFX,PHENIXFIN CORPORATION,108563191.0,,其他,NASDAQ,投资信托/互惠基金,0.51129202,10.68552138,6.98267458,0.72695157,-1,-1,-1
