商品代码,说明,市场价值,员工数量,板块,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),aboveMa1,aboveMa2,maxChange
580,SUN.KING TECH,4186979999.999999,620.0,制造业,HKEX,工业机械,0.22496343,20.9321341,10.06577391,2.00377273,-1,-1,-1
776,IMPERIUM GP,4180319999.999999,,耐用消费品,HKEX,家居装修,-3.93376757,,-485.69313388,,-1,-1,-1
693,TAN CHONG INT'L,4127290000.0,5407.0,制造业,HKEX,卡车/建筑/农业机械,0.28690232,436.17021277,0.08575669,0.38020134,-1,-1,-1
2322,HK CHAOSHANG GP,4120600000.000001,57.0,运输,HKEX,海运,0.02744003,,-2.89070288,4.5435958,-1,-1,-1
1735,CENTRAL HOLDING,4118399999.999999,64.0,工业服务,HKEX,工程建设,0.00340414,,-7.59216428,25.62586241,-1,-1,-1
1866,CHINA XLX FERT,4112390000.000001,8267.0,加工制造业,HKEX,化学品：农业,1.71936379,10.53105311,7.72498894,0.76559992,-1,-1,-1
517,COSCO SHIP INTL,4108330000.0,,运输,HKEX,空运/快递,0.01188068,12.13768116,4.2211303,,-1,-1,-1
1426,SPRING REIT,4093630000.0,,金融,HKEX,房地产投资信托基金,0.47190807,,-2.78269336,0.53438858,-1,-1,-1
1651,TSUGAMI CHINA,3984890000.0,1493.0,制造业,HKEX,工业机械,0.09179263,17.71167822,13.30064245,2.48912197,-1,-1,-1
698,TONGDA GROUP,3952500000.0,24000.0,制造业,HKEX,杂项制造,0.53583545,11.25461255,5.59294462,0.59728383,-1,-1,-1
1708,SAMPLE TECH,3952370000.0,290.0,商业服务,HKEX,杂项商业服务,0.58269662,,-7.06408786,1.75952045,-1,-1,-1
680,NAN HAI CORP,3912790000.0,15899.0,金融,HKEX,房地产开发,6.56729408,,-60.3069387,1.36363636,-1,-1,-1
258,TOMSON GROUP,3882930000.0,450.0,金融,HKEX,房地产开发,0.0786258,22.18468468,1.3917014,0.30126654,-1,-1,-1
620,DTXS SILK ROAD,3831590000.0,,工业服务,HKEX,工程建设,0.57884331,223.3463035,1.42256268,,-1,-1,-1
2198,CHINA SANJIANG,3761660000.0,,加工制造业,HKEX,化学品：特种,0.87946739,2.95758929,25.10764539,0.67117777,-1,-1,-1
1563,IA FIN LEASING,3750000000.0,33.0,金融,HKEX,金融/租赁,1.38799532,183.82352941,1.49286326,2.64572662,-1,-1,-1
1596,YICHEN IND,3743990000.0,,非能源矿业,HKEX,其他金属/矿物,0.19207208,13.19620253,12.21793094,,-1,-1,-1
