商品代码,说明,市场价值,员工数量,部门,交易所,行业,债务股本比(MRQ),市盈率(TTM),股本回报率 (TTM),市净率(FY),RSI(14),accums,currents
603681,永冠新材,4071498757.0,1802.0,加工制造业,SSE,特种工业品,0.89513358,18.68073148,14.52660738,2.61518207,50.50449437,8,6
000761,本钢板材,15513898567.717716,16745.0,非能源矿业,SZSE,钢铁,1.43095077,18.359375,4.3146786,0.77993053,50.50882822,2,-6
002766,*ST索菱,1851500128.0,1135.0,制造业,SZSE,汽车零件：OEM,-2.09982723,,,,50.52884823,7,1
600497,驰宏锌锗,22503508836.0,9735.0,非能源矿业,SSE,其他金属/矿物,0.55664787,33.8697318,4.43324676,1.53831162,50.53402328,10,-1
603308,应流股份,13321364777.0,4483.0,非能源矿业,SSE,钢铁,0.69466503,59.56017104,5.9871177,3.52364638,50.53964956,8,-2
600403,ST大有,8439568057.0,27678.0,能源矿产,SSE,煤炭,0.87780599,,-13.57891595,1.33944495,50.54106613,7,-1
300528,幸福蓝海,2254278851.0,1431.0,消费者服务,SZSE,电影/娱乐,2.05355085,,-28.99972539,2.31149827,50.54278488,5,-2
603138,海量数据,3368753821.0,370.0,科技服务,SSE,IT服务,0.01300209,92.63456091,7.00908729,6.40297631,50.57313836,5,0
002564,天沃科技,3368819326.0,2897.0,制造业,SZSE,工业机械,4.33522938,,-32.17108871,1.34585364,50.58489537,11,-1
300265,通光线缆,3248142427.0,1227.0,制造业,SZSE,电子设备,0.52987666,45.31568228,5.94862694,2.49545071,50.585243,8,0
300697,电工合金,4426239901.0,596.0,非能源矿业,SZSE,其他金属/矿物,0.36578711,31.16213683,16.09377407,4.92985155,50.58576163,8,2
601916,浙商银行,81513611098.33975,15997.0,金融,SSE,地区银行,4.3360061,6.83304647,9.31965381,0.73071161,50.58806761,4,-6
300150,世纪瑞尔,2457445421.0,871.0,科技服务,SZSE,IT服务,0.04316585,,-4.13803397,1.29621228,50.59446095,6,0
600609,金杯汽车,6674010437.0,2783.0,耐用消费品,SSE,机动车,0.91322028,,-80.73457797,11.84961006,50.59859055,6,2
000159,国际实业,2951411817.0,258.0,加工制造业,SZSE,特种工业品,0.09787908,19.62288271,6.81688789,1.33506413,50.60176588,6,0
002383,合众思壮,5704807538.0,2581.0,电子科技,SZSE,电信设备,0.78785403,,-48.21883239,3.39691095,50.60270688,4,-1
600613,神奇制药,2830677273.6048,1301.0,健康科技,SSE,药品:专业,0.14355877,,-13.36175569,1.28747514,50.60416631,4,0
300201,海伦哲,3237265783.0,1098.0,制造业,SZSE,卡车/建筑/农业机械,0.47122031,,-32.93035639,2.81583022,50.61333108,2,-3
300938,信测标准,3083786858.0,899.0,商业服务,SZSE,杂项商业服务,0.04098804,41.28464267,15.73288393,7.46510908,50.61403062,5,-1
